filepath,split,label,duration,samplerate,channels
data\for-2seconds\training\real\file1000.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10003.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10006.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10009.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10010.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10013.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10015.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10017.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10021.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10026.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10033.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10041.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10049.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10051.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10053.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10055.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10057.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10059.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10061.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10065.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10069.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10070.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10074.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10075.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10078.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10079.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file1008.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10091.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10095.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10098.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10105.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10106.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10110.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10113.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10120.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
